key,priority,created,status,versions
JENA-2091,Major,2021-04-15T08:42:48.000+0000,Closed, 4.0.0
JENA-2090,Major,2021-04-15T08:32:07.000+0000,Closed, 4.0.0
JENA-2089,Major,2021-04-12T14:47:56.000+0000,Closed, 4.0.0
JENA-2088,Major,2021-04-12T14:37:33.000+0000,Closed, 4.0.0
JENA-2087,Major,2021-04-12T11:04:33.000+0000,Open,
JENA-2086,Major,2021-04-10T13:59:44.000+0000,Closed, 3.17.0  4.0.0
JENA-2085,Minor,2021-04-10T00:52:19.000+0000,Closed, 4.0.0
JENA-2084,Minor,2021-04-10T00:50:55.000+0000,Closed, 4.0.0
JENA-2083,Major,2021-04-09T07:02:15.000+0000,Closed,
JENA-2082,Minor,2021-04-08T18:11:18.000+0000,Closed, 4.0.0
JENA-2081,Major,2021-04-07T13:50:36.000+0000,Closed, 4.0.0
